,01T02,03,05T06,07T08,09,10T12,13T15,16,17T18,19,20,21,22,23,24,25,26,27,28,29,30,31T33,35,36T39,41T43,45T47,49,50,51,52,53,55T56,58T60,61,62T63,64T66,68,69T75,77T82,84,85,86T88,90T93,94T96
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,3.409532801296604e-05,9.74229657003628e-07,5.49860670313195e-06,5.0429859559802355e-06,2.924905058101891e-06,0.00022804860042450537,1.0094154072193143e-06,4.760680035511581e-07,7.155541276070382e-06,2.0436112326615913e-05,0.0004401237743042499,0.00019840278179474255,8.325420023265025e-06,5.278923832895464e-06,2.8024076269347827e-05,0.00012355103012612648,9.231036564761217e-05,3.2728488033042965e-06,2.331398188588577e-05,0.0003182355563997018,1.6172501109704618e-05,6.7995267052739665e-06,0.0012352733761039473,9.056890747156849e-06,6.607502865473281e-05,0.0004933391929526807,9.074643077521403e-06,8.790264288258265e-07,1.7455566409356723e-06,1.818299534130013e-06,0.0,1.6505554927882694e-05,0.00014846157070378478,0.00014649849890154722,2.0561315689052616e-06,1.293150242603545e-05,0.00021636480628725325,7.666998303592836e-05,9.458237207446773e-06,0.0,1.4348834461848729e-06,3.1618796977106345e-06,6.960785576014671e-06,1.8045119859072683e-05
26,0.0011694694794197671,1.1271919352110976e-05,0.0001901443597930847,1.589475879795297e-05,2.064803962533162e-05,0.00013901978647584898,2.5140983738276386e-06,2.1053071233553194e-06,2.517873040804474e-05,6.82058558452462e-05,0.0018997073390888061,0.0008563664193485672,2.3929351889264398e-05,1.2079032607188946e-05,2.4768204401397525e-05,4.639907969955038e-05,0.0043020049902105645,2.569323808373054e-05,0.00015661312765671284,0.00016363755607589007,0.00019559506804777912,7.62782203346282e-05,0.004538399375345179,8.428768951804257e-06,0.00037586240979153087,0.0062249619282962075,0.00019945223052170614,4.57760292441191e-06,0.00018996469579077275,6.680889691138856e-05,0.0,0.00012588328545061944,0.03971066948699619,0.03815864577937452,0.0030861499278633767,0.006810379255444498,0.0021372394821779243,0.008753725339798603,0.0009482805302662306,0.0,0.000618746674044989,0.006626059505011924,0.00011366894742373458,0.0005002857652691552
27,3.060851432062192e-06,1.406606093766255e-07,2.4055338442712064e-06,2.367553600312132e-06,4.6067598423450434e-06,8.542783988291354e-06,1.5620246162397245e-07,9.298747180510814e-08,4.607942225094405e-06,5.935231079463223e-06,3.0140455089389383e-05,1.3586973672911666e-05,5.618399053757913e-07,4.4807794379030596e-07,3.250920381534974e-06,1.98735241653358e-06,4.7362187389516256e-05,1.659233626684559e-05,5.766139293169936e-06,8.977684086275327e-06,1.5133677400007482e-06,7.419409112146424e-07,0.010573477312630192,1.1529919766391794e-07,1.750340186910254e-05,0.00011822482900746773,5.181006150926046e-06,2.8839821830176526e-08,2.3918146393585774e-06,1.199164266497642e-06,0.0,4.7953496915107105e-06,0.0006022767120840104,0.0005990512519728999,8.94559937434632e-06,2.9768451355822428e-05,0.0013535974279883514,3.378903350689919e-05,8.15654265231276e-06,0.0,3.876773356243117e-06,1.3654460535861694e-05,2.299849408437286e-06,1.695475598668753e-05
28,0.003609631019650717,8.798809377011195e-05,0.001778144168688291,0.0002445157467833489,0.00024009848787670258,0.0016023852338566927,2.080488980203125e-05,4.1548203229220795e-05,0.00039902230161388834,0.0009299923636288644,0.005263203953752272,0.0023725923627467512,0.00037892266712490546,0.0001783442603855289,0.00037963415952763324,0.0005819504783580168,0.005154541870449123,8.801694174456982e-05,0.0009971641348935755,0.0028642035287911333,0.00036577717197137737,0.00017519225045739605,0.006279916412147089,4.392786409169509e-05,0.0032433593754013224,0.01032890256688751,0.00026482167565689566,2.047369844712215e-06,5.17057383500012e-05,9.136582698026606e-05,0.0,0.0006326820335455734,0.001171778142855438,0.0009012893379707447,9.327206519354214e-05,0.0019020507804442244,0.0035701753614269076,0.0017815888333675358,0.0005970515275529937,0.0,9.99999835573375e-05,0.000196362971266751,0.00018549399259712625,0.0008556864588803595
29,0.0008624967273582756,1.3001924396569691e-05,0.00018776176018686107,2.8910148558898337e-05,5.573541750296971e-05,6.766571113148711e-05,7.552155878134871e-07,3.2152919032428917e-06,7.655445374068275e-06,6.931145068443625e-05,0.0001614335399592657,7.277240011295106e-05,1.0500329767404826e-05,2.3105458706575094e-05,5.33262134031239e-06,5.7416855098208015e-05,9.903214867818415e-05,2.993701122796464e-06,5.194734704001463e-05,0.00016468655285812846,3.033874200961854e-05,8.146133885489209e-06,0.0004450063616195382,5.5337531037710586e-05,0.0029384477257171173,0.0053493710637788116,0.001553857944332351,1.2742556364322352e-06,6.328179662743278e-05,0.00017591724629398452,0.0,4.1442410465301844e-05,0.000670600135473336,0.0006288076257748393,2.022574009844185e-05,0.022707373499327443,0.00879966433553553,0.0009892646939242253,0.0006712037779838821,0.0,4.248895781153717e-05,0.00016939889426452953,3.499670768450128e-05,0.0005050130768025457
30,2.3754482004363705e-05,1.5475884437148525e-05,0.00026352066698779155,2.8006788809256492e-06,6.920642330479982e-05,2.4345570891710057e-05,2.5760272202907695e-07,1.830410622125402e-07,2.0690800797091598e-06,3.2833717398126166e-06,0.0001432904721737445,6.45937119140954e-05,2.009424243592813e-06,4.361907091849198e-07,3.900842914776456e-06,4.801033396118093e-06,0.0001446198414638717,1.361843476453049e-06,1.2655138450204878e-05,7.325058504210696e-05,0.0003729287743822756,3.566577447475089e-06,0.0005003322231722966,7.405135757015161e-07,0.00011511980542377549,0.0005464728196981012,0.0001698311328409447,7.121060821757668e-05,0.0011515134158962203,9.906876809081412e-05,0.0,1.8751584218042257e-05,0.0006204708708350686,0.0005909911535281404,1.1826192469694203e-05,0.0042676553773407415,0.003560563269187005,0.0003573403008941789,7.82258222823683e-05,0.0,1.7101039874229896e-05,4.8406732344552626e-05,5.2249894951528596e-05,7.271465331521219e-05
31T33,1.6732076000133572e-06,1.3050965232983686e-06,2.1844978563930455e-05,4.915092324709344e-06,3.652539079540427e-06,2.36973162958259e-05,7.001363751721783e-07,2.2912313716784445e-07,4.294426488896039e-06,6.239416291166942e-06,9.288716575149678e-05,4.187247577629515e-05,3.3226375107799544e-06,1.4356193134411285e-06,1.5373494450687534e-06,6.470366843340285e-06,0.0001358005303340769,1.7534082319749645e-06,1.4366422767518453e-05,1.876032719756951e-05,7.809647320602363e-06,6.608637640410228e-06,9.898521643220239e-05,6.760594735944575e-07,8.793323985548938e-05,0.004060797222934914,1.3371207763368365e-05,2.1107437948618945e-07,4.253497127449848e-06,6.066451362440778e-06,0.0,0.00031046083887121314,0.00048702875864231084,0.00033207846353974487,5.006022777982343e-05,0.0015553370054955514,0.0011996523298598127,0.0006933310276887047,0.0001248996218642031,0.0,7.948883309588729e-05,0.00023726215385333642,5.9698175551992414e-05,0.00021624629625102273
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
