,01T02,03,05T06,07T08,09,10T12,13T15,16,17T18,19,20,21,22,23,24,25,26,27,28,29,30,31T33,35,36T39,41T43,45T47,49,50,51,52,53,55T56,58T60,61,62T63,64T66,68,69T75,77T82,84,85,86T88,90T93,94T96
26,0.09064270620909474,0.09064270620909474,0.01912770861592302,0.006821438103593735,0.039948080678917364,0.034616419504566474,0.048336723055069954,0.032139010830053404,0.037605693189103624,0.02522111320216317,0.04513707440468225,0.0,0.029373660063817107,0.025016076942993286,0.031094504910643073,0.03422090311049339,0.061952811850363824,0.053775771290458525,0.0450328754046733,0.015846681468407727,0.038583472514633996,0.07359687908328116,0.07689686228992311,0.0,0.04053727696290309,0.08906592659844283,0.07050011083495618,0.07050011083495618,0.07050011083495618,0.07050011083495618,0.0,0.03280634360196653,0.20855641641232947,0.20855641641232947,0.20855641641232947,0.09967603255641841,0.025417017569208476,0.14668382174461214,0.12377070153909214,0.0,0.10934024855418817,0.19577696385026483,0.035317403831342846,0.07084452579841916
27,0.0005883934638100843,0.0005883934638100843,0.004632028131066189,0.0004793548930069502,0.00900197415552344,0.004544266224784609,0.0053905682105276605,0.010421135985960065,0.007463752829406045,0.003624344109855872,0.0017204366014367844,0.0,0.001707782356210245,0.0018487364126139947,0.0071655443650116965,0.002647490859752854,0.0043335792395361675,0.04141455089507922,0.004109008945695899,0.002756175344700708,0.001758404253944645,0.0016874735639136914,0.16730834091300587,0.0,0.002941136626668888,0.004775706785268804,0.004000664868418134,0.004000664868418134,0.004000664868418134,0.004000664868418134,0.0,0.0025546838532986755,0.0049114815200154704,0.0049114815200154704,0.0049114815200154704,0.0035242271856377764,0.005372468223422488,0.0011739118393946696,0.0022664161280938513,0.0,0.0020302373265545562,0.0016979426133522924,0.001491145005352647,0.003376107287480736
28,0.3725338646807413,0.3725338646807413,0.2479833176902279,0.035631796888841494,0.277235240705199,0.3445286478943165,0.314513618511845,0.4726116472983064,0.43249839079867936,0.28494126753224985,0.10698910319838022,0.0,0.4376520162290196,0.3154116604566227,0.40453655157148216,0.34268204577069183,0.0771795178382995,0.17668906673583415,0.24703455175435254,0.23799365736601807,0.07284937721362214,0.1608582273654411,0.09648101244397664,0.0,0.2919774151255164,0.13273533993910214,0.057537724245414784,0.057537724245414784,0.057537724245414784,0.057537724245414784,0.0,0.16636447460386092,0.007335578740240224,0.007335578740240224,0.007335578740240224,0.022400246731247988,0.0412952032864233,0.02344030995117852,0.10139465479247689,0.0,0.016810391971191906,0.011518262069223231,0.0671471260833624,0.11317047621460373
29,0.1175997742367942,0.1175997742367942,0.03862374752636174,0.004554090698587125,0.08882158021288848,0.02138396485987143,0.02069159056020252,0.049379044442450955,0.01653243918704183,0.043081958040387135,0.005389670565792271,0.0,0.01801684805142303,0.04510470970381815,0.011851563682239429,0.04767007828665726,0.0031434719645481554,0.009034542006000366,0.018781929409958296,0.019782729605513395,0.00884143152610464,0.01091070463195867,0.011639162012987756,0.0,0.33470524643671296,0.1020431435580973,0.20928404545259593,0.20928404545259593,0.20928404545259593,0.20928404545259593,0.0,0.016968770843364706,0.005702233949397055,0.005702233949397055,0.005702233949397055,0.29074866402123345,0.31145048430294414,0.0227811172182615,0.11659093110296918,0.0,0.01161565526616511,0.015095215130328604,0.013081984277405563,0.08696348285196494
30,0.010081987687879053,0.010081987687879053,0.0030834847761114052,0.011034995372710755,0.0981265578797679,0.00632347990341285,0.007449258561815332,0.0019601722770395593,0.0019450648912704238,0.0014436355631047063,0.0025242792918310952,0.0,0.0031499199775243234,0.0007231265023712474,0.003342958313630657,0.002594891176497501,0.002326554454437302,0.0017968365557293694,0.003079395571985055,0.005608715651958043,0.0677452742192669,0.0028775562195545883,0.005576145403012166,0.0,0.009258707178551387,0.007136271538469615,0.20315333329313637,0.20315333329313637,0.20315333329313637,0.20315333329313637,0.0,0.005219884142192442,0.00289851712121357,0.00289851712121357,0.00289851712121357,0.04610898825975313,0.052195627835594886,0.0031739606143045764,0.011602375802823646,0.0,0.0029893647361060108,0.001979195336309377,0.013698246470016802,0.008961945521060022
31T33,0.020088457378384463,0.020088457378384463,0.007551974183069931,0.0007725961923943693,0.007420851455506254,0.006728900027716532,0.005865091177980112,0.011709459142696005,0.009083710347882953,0.002442329110406478,0.005647520071994593,0.0,0.0022235114850514717,0.004738315917105206,0.004366429616951488,0.0025883776176061596,0.0056666866355660666,0.006306445426016015,0.0034287977038861546,0.013115189229809868,0.006947537093153581,0.03636127136065748,0.0017945930964245545,0.0,0.007644032028615032,0.020486259034674603,0.016146389674634123,0.016146389674634123,0.016146389674634123,0.016146389674634123,0.0,0.013218439494871134,0.0016862009108410117,0.0016862009108410117,0.0016862009108410117,0.010692149694443041,0.0069109382589135696,0.015266908924115231,0.021049239530360562,0.0,0.03920123606986636,0.18707032273293103,0.033566732823624594,0.013545875653853588
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41T43,0.14747275210872096,0.14747275210872096,0.1327942706273385,0.05513592534667508,0.09943942637892172,0.1415641686522083,0.09162880523682121,0.1324097837341809,0.08181117628329802,0.1370340707411575,0.051759419834209265,0.0,0.08655272998112573,0.0969330798120488,0.09316721300512217,0.09134743339463346,0.04669295394092217,0.06925890156012797,0.07763617422557499,0.053588261138114025,0.06405270902460114,0.07411039172706141,0.4423658799624792,0.0,0.05977998438454387,0.2554485729466451,0.24461769978257783,0.24461769978257783,0.24461769978257783,0.24461769978257783,0.0,0.5370213820467252,0.12002164752628314,0.12002164752628314,0.12002164752628314,0.109554171512403,0.4123577287809542,0.07099957196241712,0.09300073765784077,0.0,0.47917539898419675,0.30346466264747907,0.38977497041418235,0.3567914399943786
45T47,0.17601743395701439,0.17601743395701439,0.0962188889716928,0.02007957839458444,0.15173388933438123,0.11712549861950604,0.09710932238346726,0.13631344690792646,0.12465320303114821,0.0883477611698518,0.043306550181960696,0.0,0.10118859887759578,0.09148127787723098,0.10176640425726693,0.09588783480691743,0.039265392055430656,0.07554179066196706,0.07390728249872153,0.079979089393608,0.0420139605262682,0.09413254342614182,0.08513044766667617,0.0,0.1331850054166774,0.12933598300472798,0.09757209620794666,0.09757209620794666,0.09757209620794666,0.09757209620794666,0.0,0.12100654308408104,0.08358611575558401,0.08358611575558401,0.08358611575558401,0.1204803225746093,0.09499628736773943,0.07444609564385306,0.1296892255464554,0.0,0.07487606887193146,0.1405415841503397,0.0946220439070896,0.10416864098322794
