,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
313TT,Textile mills and textile product mills,20,13,---,1,---,---,1730,394,384,---,---,1066,0,0,2551,338,2521,2118,73,7093,4179,3589,370,86,4,2103,2881,62,118,4797,2149,---,---,24,10,---,1,41,1,3,192,6,5,---,---,---,---,8,127,115,---,---,361,9,261,146,47,103,626,2605,1397,0,88,1897,481,311,462,282,2,2242,19,50512,30517,---,963,---,768,1708,7865,-44591,---,---,---,---,---,---,0,---,---,---,0,---,-2769,47743
315AL,Apparel and leather and allied products,46,---,---,---,---,0,---,---,0,---,---,---,---,---,1223,---,---,128,8,31,1191,---,39,4,---,0,479,8,0,145,119,---,---,---,---,---,---,---,---,---,0,5,0,---,---,---,---,---,---,0,---,---,22,0,146,82,2,2,9,---,0,18,12,3,0,500,18,8,141,1530,30,5952,178571,---,---,---,---,3206,4347,-164835,---,---,---,---,---,---,---,---,---,---,---,---,21289,27241
322,Paper products,419,0,142,174,43,37,4430,527,1563,1090,2352,1842,216,1075,3429,499,1104,2192,30637,501,125,33936,5889,327,6188,4507,8604,150,1455,358,3049,28,104,3,195,1681,13,4729,476,1197,170,877,375,689,813,306,4,31,1403,709,691,360,5449,1415,3527,332,295,1005,2514,1015,1120,50,167,2027,4219,1255,138,1414,37,13055,39,170783,22908,---,---,---,---,1319,21663,-27161,---,---,---,---,---,---,---,---,---,---,---,---,18728,189510
323,Printing and related support activities,10,---,6,1,---,3,48,2,---,---,0,3,---,0,3,---,---,---,82,---,16,---,1005,1,156,---,7980,104,174,124,6065,10,8,---,640,39,1,303,8,5953,824,263,4600,587,1264,1756,---,---,122,232,725,187,6645,1147,2905,14,805,1176,1849,102,1112,400,194,420,599,2028,328,739,6,9457,525,63752,3206,---,---,---,---,2363,2190,-3029,---,---,---,---,---,---,---,---,---,---,---,---,4730,68482
324,Petroleum and coal products,7000,379,7199,3102,1704,28668,54186,655,506,1310,640,953,80,1449,480,109,239,616,2981,84,31,1373,878,22642,9195,829,5724,898,668,152,2028,18796,6216,1796,20104,1156,71,17694,174,277,135,728,441,4247,5933,49,464,250,6810,1942,56,886,2371,1580,6757,1607,771,867,4064,673,763,112,1070,985,4129,3283,12386,858,1761,106269,13588,408877,180272,---,---,---,---,-3274,106680,-69387,---,---,---,---,---,---,---,---,---,---,---,---,214292,623168
325,Chemical products,27211,1882,9824,2606,1018,2974,16814,1681,4727,1573,7433,3406,1096,2186,9059,1191,1515,5826,9532,9607,407,11486,5881,13332,191049,59285,3192,286,213,36,3381,1,234,3,210,8,1,76,899,287,243,760,1391,32,109,14,---,430,15225,449,102,125,25009,1779,10891,1251,835,44163,21574,3817,1006,546,729,389,1501,4100,2122,2188,85,39157,2817,594266,337833,---,3054,---,---,-5542,178087,-324629,---,---,---,---,---,---,---,---,---,---,---,---,188804,783070
326,Plastics and rubber products,1840,97,112,753,515,21,35446,576,1324,548,2550,5868,548,1589,27319,2467,3543,4911,21070,379,352,3265,707,465,9978,17163,17153,1344,2353,456,8139,28,6,0,573,24,39,2941,620,385,194,4555,960,47,140,448,0,772,499,1591,55,652,7339,192,2220,380,896,8334,4192,1445,833,29,189,151,7656,3953,1358,617,16,12645,2350,242174,45513,---,361,---,78,741,26174,-76609,---,---,---,---,---,---,0,---,---,---,---,---,-3742,238432
42,Wholesale trade,46476,3277,11318,4394,3242,10482,112898,12956,6796,30653,22104,32492,5872,11115,73410,10804,6246,11496,75119,3018,2412,14788,3756,19792,53979,16825,73508,4071,2396,3645,36132,2869,3928,931,10155,798,198,7519,3221,5769,379,14156,4191,1940,3258,619,445,1657,8497,17265,1175,3073,25127,7211,12430,3072,5022,29416,18060,5169,4733,555,2408,3796,25634,13099,19336,4115,1515,55945,9749,1063904,703676,11,231952,35201,4278,9393,226960,89101,---,---,18646,554,---,---,4378,664,---,---,11506,1964,1338285,2402189
441,Motor vehicle and parts dealers,7,1,325,172,96,26,2755,149,293,145,371,3026,41,1,2558,1152,115,228,1039,32,1,416,102,1,564,180,35,1204,730,79,3054,0,16,---,1144,6,0,14,103,94,49,60,2,16,8,21,---,30,528,538,0,17,1217,---,2023,68,---,---,---,---,---,6,25,46,120,6667,---,---,0,---,1,31718,208784,---,41763,---,15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,250562,282280
445,Food and beverage stores,77,0,1,0,0,165,554,0,26,0,1,4,0,1,9,0,4,1,9,0,0,2,50,3,117,2,49,12,9,2,43,0,12,---,444,22,0,39,0,1,1,0,12,6,8,1,---,64,111,8,2,2,29,---,384,1,9,8,8,1,3,0,1,60,3150,70,0,1,0,22,0,5622,262117,---,128,---,11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,262255,267877
