,,NAICS2012Code,best_match
,,count,
NAICS_4,ISICSec,,
6216,Q,1,
6219,Q,3,
6221,Q,1,
6222,Q,1,
6223,Q,1,
6231,Q,1,
6232,Q,2,
6233,Q,2,
6239,Q,1,
6241,Q,3,
6242,Q,4,
6243,Q,1,
6244,Q,1,
7111,R,5,
7112,R,3,
7113,R,7,
7114,M,1,
7115,C,2,
7115,M,1,
7115,R,1,
7121,R,4,
7131,R,2,
7132,R,2,
7139,H,1,
7139,N,1,
7139,R,8,
7211,I,5,
7211,R,1,
7212,I,2,
7213,I,1,
7223,I,4,
7224,I,1,
7225,I,5,
8111,C,1,
8111,G,9,
8111,M,1,
8112,C,6,
8112,S,5,
8113,C,6,
8113,G,1,
8113,N,1,
8114,C,5,
8114,G,1,
8114,S,6,
8121,S,5,
8122,S,2,
8123,S,4,
8129,H,1,
8129,J,1,
8129,M,2,
8129,S,4,
8131,S,1,
8132,S,3,
8133,S,3,
8134,S,1,
8139,R,1,
8139,S,5,
8141,T,1,
9211,O,7,
9221,O,9,
9231,O,7,
9241,O,4,
9251,O,2,
9261,N,1,
9261,O,9,
9271,H,1,
9271,O,1,
9281,O,6,
9281,U,1,
