Country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Finland	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	72.80045704	63.13260985	71.52016907	71.33834629	56.94253078	62.37192905	63.0075188	67.03495824	65.48972671	62.60749914	61.60560537	62.44815457	65.09304009	64.91525424	64.9052301	67.22484344	68.58782276	71.57975528	73.16491649	73.44202772	86.49831243	96.70767213	119.1526503	104.0229617	99.26169985	83.77659844	83.21365947	86.66510239	79.10835533	81.12058369	90.14086572	85.33962995	84.92652506	87.29876309	87.48409529	87.60497186	90.27629166	93.88738026	103.4911075	106.1695654	108.269242	109.1803958	110.5219437	114.7008873	120.0520066	126.0898361	115.3490746	122.3869978	120.6106347	117.8518123	122.091963	116.1392191
France	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	88.74282989	87.5139791	85.20760042	85.58337207	85.98586233	85.21132649	86.62253732	87.31326818	84.18269237	82.1478377	84.66967218	88.85826538	92.47092379	96.27496094	98.09792939	100.5076115	98.55820628	98.14199397	97.46665977	96.17006291	96.07581199	94.8099558	99.21741557	103.6729711	108.3080874	107.6058568	105.6721609	106.1190632	107.4420764	109.1948656	110.4174393	115.5165179	119.5968131	118.7186418	123.9110675	127.7663199	125.7578799	131.3373787	136.4667636	142.2643008	142.5044031	146.1951605	151.7045415	172.570889	166.1510374
Germany	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	53.65838325	54.87040823	56.7713385	56.9327992	58.3673856	59.58996614	58.72194149	59.15678133	58.65899364	58.46315282	60.65339124	62.77765927	63.68224663	62.9332176	62.70011145	61.43587584	59.45891273	59.45663758	59.68497179	60.22618498	59.61362345	56.26781435	56.02487574	60.1583766	58.24891367	55.26076607	56.99934422	58.16184382	60.25257891	60.90683085	69.41012475	71.93547645	74.34571361	74.28410586	68.59165886	68.276938	69.40199071	68.04256766	70.02293353	71.8460337	69.94439245	67.27394229	67.25961731	68.8844861	64.17803329	64.06390235	64.12152204	64.94668152	67.57652023	68.61801305	73.11528941	72.34036232
Greece	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	30.0921138	29.93638856	29.49651554	29.72816149	31.93404505	33.69139153	39.74153011	42.77118813	42.24528325	42.61708269	42.34649785	46.59117943	48.0404955	50.85943866	58.31346792	59.43998641	67.61346398	67.82418793	69.13011397	67.28669587	68.12498589	66.52246143	65.94668012	62.34603144	60.42392987	54.49877217	65.7422305	65.90439206
Honduras	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	32.77443101	32.26519377	32.30950377	33.14765115	20.3879514	22.34062906	25.47532468	23.70148847	23.50477303	21.87685808	21.05040265	22.62674148	24.84691335	24.64116393	24.88856257	25.69956864	26.41911624	29.07252371	29.64282616	31.63161578	30.61430457
Hong Kong SAR	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	131.8301967	111.5616	103.9893251	105.6038187	107.7568811	116.2709583	120.5897996	124.5787764	118.4280859	108.0176773	105.0472486	101.6518285	100.5710145	108.8132197	112.0341031	118.8621404	124.4520911	135.9387456	140.569187	138.8729211	165.3844552	178.1266833	176.9211397	201.0846909	217.9408453	230.0202645	238.4788713	272.4269075	262.2900097	267.5723054	291.9966603	275.0425308
Hungary	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	33.99341178	31.94567387	35.74353841	34.98454782	35.14091267	39.44752591	39.57212162	42.88010696	45.0123935	49.47703662	51.05679198	50.93195415	50.37701855	51.38712832	51.93535942	51.63459438	51.19697636	52.08327472	52.30540211	48.93447789	47.0009381	46.84578864	45.05189871	38.57120246	37.22354431	40.26965954	38.32830491	42.78711737	44.7079764	44.82578362	48.35397428	53.87083449	53.84941586	49.66183907	54.7193604	57.21618599	64.39374305	67.16417248	78.38923678	80.80119806	91.09370139	86.19250221	88.33593711	83.74471004	79.71258384	79.14989345	73.57458199	69.64275621	64.94577657	64.190676	63.52258261	69.8050866	74.11632565
Iceland	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	55.57290418	52.89877689	50.1576001	47.98127032	55.55224059	56.48253104	51.15048244	49.47795459	51.85108268	51.82556195	66.86139771	63.48644555	81.51532553	82.22291038	87.33470343	81.68529189	67.2332719	65.60156513	71.84798242	76.6496309	69.64012882	69.55688708	76.73202501	79.51831301	73.7447257	71.20302732	75.12112286	80.8047384	86.83459091	100.6959932	112.9219334	120.51997	113.7497366	150.5322601	167.6977312	222.1433033	317.8602547	446.1545893	514.3409924	566.6494096	404.2827135	354.3944535	285.5149225	236.6752515	239.3050097	200.7261404	174.8289051	124.5240369	114.7906648	105.5340148	138.6667824	119.4856888
India	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	49.15828609	52.49875526	56.985268	57.72131715	63.46151861	61.99956168	66.94139698	74.11558441	81.14640629	54.74534321	64.00429658	64.93343141	71.4019234	75.71237465	75.42531333	67.50441714	70.64491625	66.0282409	55.95651414	56.68508617	48.37376843	53.61265882	57.44922935	50.94619736
Indonesia	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	21.49027313	18.4469589	16.86549762	16.75693576	16.24621304	15.19841407	15.08038727	15.46035366	14.63173385	14.05046716	15.47793459	18.51731667	21.71607446	23.27129879	25.0533658	23.69875266	23.32463901	24.38362585	23.82044333	24.87259137	23.0882312
